parking_id,name,distance_to_vw_m,num_stops,total_daily_trips,num_routes,nearest_stop_distance_m,stops_score,frequency_score,reliability_score,proximity_score,diversity_score,distance_score,accessibility_score,service_quality,reliability_class,rank_extended
292,"Location (35.0443, -85.3118)",16927.433058822888,177,25140,11,47,90.77,87.81,100.0,95.25,91.67,80.73,92.49,Excellent - High Frequency,High Reliability,23
434,"Location (35.0463, -85.3123)",16919.713707409188,176,25731,12,159,90.26,89.87,100.0,83.92,100.0,80.8,92.11,Excellent - High Frequency,High Reliability,24
431,48,15916.949367174317,170,24280,12,50,87.18,84.8,100.0,94.94,100.0,90.83,91.48,Excellent - High Frequency,High Reliability,25
308,"Location (35.0493, -85.3052)",16222.267759599044,172,25829,12,205,88.21,90.21,100.0,79.27,100.0,87.78,91.01,Excellent - High Frequency,High Reliability,26
252,"Location (35.0477, -85.3121)",16874.41713334078,167,24989,12,134,85.64,87.28,100.0,86.45,100.0,81.26,90.56,Excellent - High Frequency,High Reliability,27
383,"Location (35.0446, -85.3130)",17019.948841998597,169,24446,11,63,86.67,85.38,100.0,93.63,91.67,79.8,90.49,Excellent - High Frequency,High Reliability,28
310,Unum,16181.457574197351,169,25223,12,208,86.67,88.1,100.0,78.97,100.0,88.19,89.94,Excellent - High Frequency,High Reliability,29
290,"Location (35.0503, -85.3092)",16557.278339854693,159,23820,12,42,81.54,83.2,100.0,95.75,100.0,84.43,89.71,Excellent - High Frequency,High Reliability,30
345,"Location (35.0503, -85.3088)",16525.463031721294,160,23965,12,73,82.05,83.7,100.0,92.62,100.0,84.75,89.52,Excellent - High Frequency,High Reliability,31
61,"Location (35.0417, -85.3073)",16587.101551142212,168,23524,11,114,86.15,82.16,100.0,88.47,91.67,84.13,88.62,Excellent - High Frequency,High Reliability,32
451,"Location (35.0410, -85.3059)",16484.3024649258,172,23530,11,157,88.21,82.18,100.0,84.13,91.67,85.16,88.49,Excellent - High Frequency,High Reliability,33
425,"Location (35.0407, -85.3074)",16623.082664037836,165,22642,11,64,84.62,79.08,100.0,93.53,91.67,83.77,88.07,Excellent - High Frequency,High Reliability,34
404,"Location (35.0420, -85.3024)",16148.626481685827,164,22709,10,38,84.1,79.32,100.0,96.16,83.33,88.51,87.58,Excellent - High Frequency,High Reliability,35
406,"Location (35.0507, -85.3050)",16177.330964942808,157,23747,12,166,80.51,82.94,100.0,83.22,100.0,88.23,87.49,Excellent - High Frequency,High Reliability,36
367,"Location (35.0508, -85.3045)",16130.691964812297,154,23084,12,150,78.97,80.63,100.0,84.83,100.0,88.69,86.66,Excellent - High Frequency,High Reliability,37
448,"Location (35.0480, -85.3132)",16969.271018552554,157,23605,12,230,80.51,82.45,100.0,76.74,100.0,80.31,86.37,Excellent - High Frequency,High Reliability,38
449,"Location (35.0507, -85.3113)",16736.968889428194,146,22166,12,45,74.87,77.42,100.0,95.45,100.0,82.63,86.26,Excellent - High Frequency,High Reliability,39
422,"Location (35.0512, -85.3101)",16628.625284649537,142,22176,12,30,72.82,77.45,100.0,96.97,100.0,83.71,85.99,Excellent - High Frequency,High Reliability,40
