parking_id,name,distance_to_vw_m,num_stops,total_daily_trips,num_routes,nearest_stop_distance_m,stops_score,frequency_score,reliability_score,proximity_score,diversity_score,distance_score,accessibility_score,service_quality,reliability_class,rank_moderate
427,"Location (35.0628, -85.3131)",16725.711027559777,30,1765,3,137,18.87,7.33,100.0,82.41,25.0,82.74,41.78,Excellent - High Frequency,High Reliability,123
309,"Location (35.0601, -85.3027)",15807.737886805033,21,1792,5,159,13.21,7.44,100.0,79.59,41.67,91.92,41.64,Excellent - High Frequency,High Reliability,124
171,"Location (35.0612, -85.3059)",16091.381425005473,25,1809,3,114,15.72,7.51,100.0,85.37,25.0,89.09,41.49,Excellent - High Frequency,High Reliability,125
301,"Location (35.0632, -85.3124)",16654.233453869983,30,1765,3,173,18.87,7.33,100.0,77.79,25.0,83.46,41.08,Excellent - High Frequency,High Reliability,126
176,"Location (35.0433, -85.2582)",12231.87967147341,34,894,1,73,21.38,3.71,100.0,90.63,8.33,100.0,40.89,Excellent - High Frequency,High Reliability,127
21,"Location (35.0295, -85.3069)",16926.71662297923,35,2263,3,258,22.01,9.4,100.0,66.88,25.0,80.73,40.85,Excellent - High Frequency,High Reliability,128
259,"Location (35.0257, -85.2775)",14564.408062248234,28,1570,1,76,17.61,6.52,100.0,90.24,8.33,100.0,40.73,Excellent - High Frequency,High Reliability,129
54,"Location (35.0093, -85.2136)",10668.579077980667,21,2101,1,56,13.21,8.73,100.0,92.81,8.33,100.0,40.67,Excellent - High Frequency,High Reliability,130
420,"Location (35.0127, -85.2288)",11448.484702196187,20,2069,1,49,12.58,8.59,100.0,93.71,8.33,100.0,40.61,Excellent - High Frequency,High Reliability,131
236,"Location (35.0401, -85.2587)",12383.511625571266,31,893,1,67,19.5,3.71,100.0,91.4,8.33,100.0,40.53,Excellent - High Frequency,High Reliability,132
116,"Location (35.0350, -85.3162)",17564.596045063816,36,2395,3,297,22.64,9.95,100.0,61.87,25.0,74.35,40.43,Excellent - High Frequency,High Reliability,133
154,"Location (35.0090, -85.3291)",19614.49139755912,26,1687,1,84,16.35,7.01,100.0,89.22,8.33,53.86,40.41,Excellent - High Frequency,High Reliability,134
445,"Location (35.0103, -85.2197)",10989.04308156252,20,2069,1,61,12.58,8.59,100.0,92.17,8.33,100.0,40.38,Excellent - High Frequency,High Reliability,135
443,"Location (35.0103, -85.2126)",10524.649308311857,22,2205,1,87,13.84,9.16,100.0,88.83,8.33,100.0,40.36,Excellent - High Frequency,High Reliability,136
173,"Location (35.0098, -85.2182)",10923.318282043329,21,2173,1,77,13.21,9.03,100.0,90.12,8.33,100.0,40.36,Excellent - High Frequency,High Reliability,137
213,"Location (35.0624, -85.2982)",15370.97670617565,18,1350,3,88,11.32,5.61,100.0,88.7,25.0,96.29,40.32,Excellent - High Frequency,High Reliability,138
394,"Location (35.0102, -85.2146)",10660.60351397197,24,2412,1,122,15.09,10.02,100.0,84.34,8.33,100.0,40.26,Excellent - High Frequency,High Reliability,139
455,"Location (35.0630, -85.3031)",15816.53309337607,26,1805,3,189,16.35,7.5,100.0,75.74,25.0,91.83,40.2,Excellent - High Frequency,High Reliability,140
279,"Location (35.0411, -85.2619)",12621.061989345246,42,1198,2,238,26.42,4.98,100.0,69.45,16.67,100.0,40.18,Excellent - High Frequency,High Reliability,141
378,"Location (35.0167, -85.2357)",11693.642737458833,20,2070,1,73,12.58,8.6,100.0,90.63,8.33,100.0,40.15,Excellent - High Frequency,High Reliability,142
